player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id,player_id
Hans Carter,Fr.,P,7.0,1.0,32.0,6-6,,RIGHT,"Hong Kong, China",IMG,https://stats.ncaa.org/players/8015466,548867.0,2023,Earlham,9174.0,HCAC,3.0,16340.0,195.0,d3-playerid-12846
Hans Hoglund,Fr.,OF,0.0,0.0,19.0,-,,,,,https://stats.ncaa.org/players/8009295,548582.0,2023,North Park,836.0,CCIW,3.0,16340.0,496.0,d3-playerid-12848
Hansen McCown,Sr.,P,17.0,4.0,36.0,6-1,RIGHT,RIGHT,"Indian Springs, AL",Oak Mountain,https://stats.ncaa.org/players/7817143,548776.0,2023,Birmingham-So.,30169.0,SAA,3.0,16340.0,28593.0,d3-playerid-12849
Harald Borg,Sr.,C,10.0,5.0,10.0,6-0,RIGHT,RIGHT,"Bartlesville, OK",Bartlesville,https://stats.ncaa.org/players/7812390,548622.0,2023,St. Olaf,882.0,MIAC,3.0,16340.0,615.0,d3-playerid-12850
Harley Eschliman,Fr.,P,0.0,0.0,48.0,-,,,,,https://stats.ncaa.org/players/7985689,548599.0,2023,Puget Sound,25300.0,NWC,3.0,16340.0,557.0,d3-playerid-12852
Harley Hoag,Fr.,INF,0.0,0.0,12.0,-,LEFT,RIGHT,,,https://stats.ncaa.org/players/8007683,548724.0,2023,Pitt.-Bradford,30022.0,AMCC,3.0,16340.0,1315.0,d3-playerid-12853
Harold Martinez,Fr.,OF,16.0,7.0,22.0,-,,,,,https://stats.ncaa.org/players/8012833,548573.0,2023,New England Col.,888.0,NECC,3.0,16340.0,467.0,d3-playerid-12855
Harris Coleman,Sr.,P,10.0,10.0,11.0,-,,,,,https://stats.ncaa.org/players/8008687,548938.0,2023,Belhaven,30251.0,CCS,3.0,16340.0,30197.0,d3-playerid-12859
Harrison Adelgren,Sr.,C,34.0,34.0,17.0,-,,,,,https://stats.ncaa.org/players/7817773,548797.0,2023,Covenant,30251.0,CCS,3.0,16340.0,30111.0,d3-playerid-12862
Harrison Blueweiss,Fr.,OF,5.0,2.0,8.0,5-8,LEFT,LEFT,"Bradenton, FL",IMG Academy,https://stats.ncaa.org/players/7981478,548576.0,2023,NYU,1471.0,UAA,3.0,16340.0,479.0,d3-playerid-12863
Harrison Blum,Sr.,P,13.0,12.0,32.0,6-6,RIGHT,RIGHT,"Fridley, MN",Fridley,https://stats.ncaa.org/players/7821414,548918.0,2023,Luther,864.0,American Rivers,3.0,16340.0,372.0,d3-playerid-12864
Harrison Boushele,Jr.,P,12.0,12.0,19.0,-,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7818341,548816.0,2023,Augustana (IL),836.0,CCIW,3.0,16340.0,40.0,d3-playerid-12865
Harrison Burns,So.,1B,12.0,10.0,36.0,-,,,"Buford, GA",Buford,https://stats.ncaa.org/players/7817735,548795.0,2023,Geneva,907.0,PAC,3.0,16340.0,30084.0,d3-playerid-12868
Harrison Durow,Jr.,P,17.0,5.0,8.0,6-3,RIGHT,RIGHT,"Dallas, TX",Lovejoy,https://stats.ncaa.org/players/7813047,548643.0,2023,Trinity (TX),835.0,SCAC,3.0,16340.0,715.0,d3-playerid-12872
Harrison Green,Jr.,INF,11.0,1.0,18.0,6-1,RIGHT,RIGHT,"Jackson, MS",Park Place Christian Academy,https://stats.ncaa.org/players/7982967,548723.0,2023,Cairn,21062.0,CSAC,3.0,16340.0,1305.0,d3-playerid-12876
Harrison Hobdy,So.,INF,39.0,34.0,6.0,-,,,,,https://stats.ncaa.org/players/7817758,548796.0,2023,Lancaster Bible,30071.0,United East,3.0,16340.0,30085.0,d3-playerid-12878
Harrison Kampf,Jr.,c,0.0,0.0,75.0,-,,,,,https://stats.ncaa.org/players/7817279,548780.0,2023,Finlandia,1473.0,WIAC,3.0,16340.0,30032.0,d3-playerid-12879
Harrison Keeler,Fr.,P,2.0,0.0,99.0,6-3,RIGHT,RIGHT,"Center Conway, NH",Kennett,https://stats.ncaa.org/players/7997088,548638.0,2023,Susquehanna,30101.0,Landmark,3.0,16340.0,685.0,d3-playerid-12880
Harrison Knaupe,Jr.,INF,2.0,0.0,2.0,5-10,RIGHT,RIGHT,"Smyrna, DE",Smyrna,https://stats.ncaa.org/players/7815466,548724.0,2023,Pitt.-Bradford,30022.0,AMCC,3.0,16340.0,1315.0,d3-playerid-12882
Harrison Leister,So.,P,10.0,0.0,39.0,5-10,LEFT,LEFT,"Douglassville, PA",Daniel Boone,https://stats.ncaa.org/players/7821119,548907.0,2023,Juniata,30101.0,Landmark,3.0,16340.0,325.0,d3-playerid-12883
Harrison Loud,Sr.,P,8.0,0.0,16.0,-,,,,,https://stats.ncaa.org/players/7818740,548830.0,2023,Bridgewater St.,870.0,MASCAC,3.0,16340.0,76.0,d3-playerid-12885
Harrison Madagan,So.,INF,33.0,25.0,8.0,-,,,,,https://stats.ncaa.org/players/7817755,548796.0,2023,Lancaster Bible,30071.0,United East,3.0,16340.0,30085.0,d3-playerid-12887
Harrison Mansfield,So.,P,8.0,4.0,9.0,6-2,LEFT,LEFT,"Uxbridge, MA",Uxbridge,https://stats.ncaa.org/players/7811809,548604.0,2023,Rhode Island Col.,867.0,Little East,3.0,16340.0,571.0,d3-playerid-12888
Harrison McDonald,So.,INF,1.0,1.0,21.0,-,,,,,https://stats.ncaa.org/players/7985288,548572.0,2023,Neb. Wesleyan,864.0,American Rivers,3.0,16340.0,462.0,d3-playerid-12889
Harrison Milbert,Fr.,P,11.0,9.0,27.0,-,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8001314,548645.0,2023,Coast Guard,890.0,NEWMAC,3.0,16340.0,722.0,d3-playerid-12890
Harrison Pittsford,Jr.,C,42.0,42.0,22.0,6-0,RIGHT,RIGHT,"Ellettsville, IN",Edgewood,https://stats.ncaa.org/players/7815226,548715.0,2023,Manchester,9174.0,HCAC,3.0,16340.0,1192.0,d3-playerid-12893
Harrison Poeszat,Sr.,C,42.0,42.0,9.0,6-3,RIGHT,RIGHT,"Commerce Twp, MI",Orchard Lake St. Mary's,https://stats.ncaa.org/players/7821131,548908.0,2023,Kalamazoo,873.0,Michigan Intercol. Ath. Assn.,3.0,16340.0,326.0,d3-playerid-12894
