Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,IP_float,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Trey Dianna,8878043,R/R,Lebanon Valley,MAC Freedom,1,1,4.91,3.2,3.6666666666666665,2,4,2,5,5,0,0,1,0,17,1,4,75,1.4,12.272727272727273,12.272727272727273,0.0,9.81818181818182,4.90909090909091,0.0,29.411764705882355,29.411764705882355,0.0,0.0,6.603277646512456,6.835833353176333,119.53106510901183,0.08182764542596002,So,0,0,0.0416787060928166,-0.305,12.268,-0.31299772449772456,3,2025
Jordy Polanco,d3d-8879336,R/R,Lebanon Valley,MAC Freedom,1,0,0.0,0.1,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,1,0,11,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.239641282876092,7.797754056178739,200.0,0.005359996408507173,So,0,0,0.003999999999999835,0.0023999999999999,0.178,0.011999999999999499,3,2025
Jeremy Tuz,d3d-7569279,R/R,Lebanon Valley,MAC Freedom,1,0,27.0,0.2,0.6666666666666666,1,2,2,3,1,0,0,0,1,7,1,0,39,0.0833333333333333,13.5,40.5,0.0,27.0,13.5,0.0,14.285714285714285,42.857142857142854,-28.57142857142857,0.0,20.239641282876093,21.518697669527416,-242.49719797488405,-0.02816107382107689,Sr,0,0,0.0038500000000002074,-0.0053999999999998,0.9510000000000001,-0.03984999999999888,3,2025
Jacob Detwiler,d3d-8015251,R/R,Lebanon Valley,MAC Freedom,1,0,6.0,3.0,3.0,2,2,2,1,2,1,0,0,1,14,3,4,46,0.9,6.0,3.0,3.0,6.0,6.0,0.0,14.285714285714285,7.142857142857142,7.142857142857142,25.0,10.239641282876093,7.0432469598994905,101.66728933891464,-0.04130910891226926,Jr,0,0,-0.0926080702829003,-0.16600000000000031,9.233,-0.02649506873055283,3,2025
Hayden Fravel,8889883,L/L,Lebanon Valley,MAC Freedom,1,0,40.5,0.2,0.6666666666666666,1,3,3,1,1,0,0,0,1,5,1,0,18,0.3,13.5,13.5,0.0,40.5,13.5,0.0,20.0,20.0,0.0,0.0,11.239641282876093,12.518697669527416,-463.74579696232604,-0.007991196247099465,Jr,0,0,0.008428571428571424,-0.03,0.045999999999999985,-0.13699999999999998,3,2025
Blair Shaffer,d3d-7129456,L/L,Lebanon Valley,MAC Freedom,2,0,3.38,2.2,2.6666666666666665,5,4,1,0,1,1,0,0,1,18,3,4,59,0.0,3.375,0.0,3.375,13.5,16.875,0.0,5.555555555555555,0.0,5.555555555555555,25.0,10.489641282876093,6.893697669527416,144.60590632758857,-0.010801703776795644,Sr,0,0,,,,,3,2025
Andrew Spaan,d3d-7569278,R/R,Lebanon Valley,MAC Freedom,1,1,2.08,4.1,4.333333333333333,7,2,1,1,3,0,2,0,0,19,5,3,82,0.0,6.230769230769232,2.076923076923077,0.0,4.153846153846154,14.538461538461538,0.0,15.789473684210526,5.263157894736842,10.526315789473685,0.0,4.5473335905684,5.531223118761726,165.91132697082375,0.0990011059859183,Sr,0,0,0.12175979550538131,0.0799999999999997,11.182,-0.04046947292473646,3,2025
Nathan Clarke,d3d-8593620,R/R,Lebanon Valley,MAC Freedom,1,1,3.86,2.1,2.3333333333333335,2,1,1,0,2,0,0,0,0,9,1,4,41,0.0,7.7142857142857135,0.0,0.0,3.8571428571428568,7.7142857142857135,0.0,22.22222222222222,0.0,22.22222222222222,0.0,3.5253555685903777,3.8908002504907557,136.73928947470176,0.06242374894840831,So,0,0,0.012085613732672529,0.0829999999999998,7.732,0.06928693528693511,3,2025
Sam Dozier,d3d-7569293,R/R,Lebanon Valley,MAC Freedom,1,0,81.0,0.1,0.3333333333333333,2,3,3,3,0,0,1,0,0,6,1,0,18,0.1,0.0,81.0,0.0,81.0,54.0,0.0,0.0,50.0,-50.0,0.0,32.23964128287609,34.79775405617874,-1127.491593924652,-0.030035070339489687,Sr,0,0,-0.041854545454540516,-0.01,-4.619,-0.053600000000004956,3,2025
Hunter Williams,d3d-8593621,R/R,Lebanon Valley,MAC Freedom,2,0,9.82,3.2,3.6666666666666665,4,6,4,5,6,1,0,0,2,22,4,1,77,1.775,14.727272727272728,12.272727272727273,2.454545454545455,14.727272727272728,9.81818181818182,0.0,27.27272727272727,22.727272727272727,4.545454545454543,20.0,11.239641282876093,8.856965270740933,39.06213021802367,-0.1282545932513151,So,0,0,-0.26855381132025846,-0.5925999999999995,0.379999999999999,-0.28700868867974105,3,2025
