Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,Division,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch
Findlay,12,G-MAC,25.6,35,2,1,0,0,3,25,22,0.14180163030842263,34,24,1,19,143,541,2025,2,7.734375,0.0,8.7890625,6.6796875,12.3046875,8.4375,1.0546875,16.783216783216783,13.286713286713287,-3.4965034965034967,8.108108108108109,7.552303352524685,7.614980332156948,102.46319363729476,78.99118013827587,Findlay,53.0,-0.7860000000000001,-0.6682273735364374,0.880896686159844,-0.22404525315088308
Fla. Southern,51,Sunshine State,111.5,115,24,1,0,0,6,56,47,1.5409142564937222,111,50,11,100,504,1894,2025,2,3.7937219730941703,0.0,4.520179372197309,8.071748878923767,9.282511210762333,4.0358744394618835,0.484304932735426,9.920634920634921,19.841269841269842,9.920634920634921,5.128205128205128,5.130638554318407,5.582639545566632,103.63610773431115,141.31675852755384,Fla. Southern,280.0,0.7005999999999982,-0.623578074518761,0.9289143480632843,1.377791852635867
Flagler,58,Peach Belt,120.8,115,22,2,24,6,4,53,44,2.2613592269044314,119,44,12,108,534,1866,2025,2,3.2781456953642385,25.0,3.948675496688742,8.04635761589404,8.567880794701987,3.2781456953642385,0.2980132450331126,8.239700374531834,20.224719101123593,11.98501872659176,3.2520325203252036,4.616665935306142,5.303608228456775,99.0368911018532,146.93710487691277,Flagler,316.0,0.46999999999999736,0.37730022309383665,1.1752657004830918,0.022609346126812202
Florida Tech,57,Sunshine State,122.5,138,20,2,7,3,8,100,75,1.7630544303607112,137,72,16,116,617,1785,2025,2,5.510204081632653,42.857142857142854,7.346938775510204,8.522448979591838,10.13877551020408,5.289795918367347,0.5877551020408164,11.66936790923825,18.80064829821718,7.131280388978929,5.517241379310345,5.693757434157338,6.143764482893127,113.66738210753698,122.28738644081427,Florida Tech,269.0,-1.8376000000000001,-2.0237507830391714,1.1263328998699609,0.3922615490727681
Fort Hays St.,35,Mid-America Intercollegiate,87.5,87,23,1,27,11,8,59,55,1.3226499986164242,65,43,8,97,403,1541,2025,2,5.6571428571428575,40.74074074074074,6.0685714285714285,9.977142857142857,8.948571428571428,4.422857142857143,0.8228571428571428,10.669975186104217,24.069478908188586,13.399503722084368,10.95890410958904,5.303553352524685,5.030543542342993,100.74759666150052,109.98349648434073,Fort Hays St.,205.0,-0.346800000000002,-0.36243802333865555,0.7869146005509642,-0.07827053608721779
Francis Marion,38,Conference Carolinas,114.6,119,17,4,8,6,3,66,55,1.7453529583972593,128,51,18,109,526,1795,2025,2,4.319371727748691,75.0,5.18324607329843,8.56020942408377,9.345549738219896,4.005235602094241,0.2356020942408377,9.695817490494296,20.722433460076044,11.026615969581748,2.2900763358778624,4.827881450255925,5.74203491445449,97.06472088518994,128.66233994886596,Francis Marion,276.0,-1.2810000000000012,-0.8308574670175694,1.0482925586136596,-0.39112964857742394
Franklin Pierce,29,NE10,60.5,68,15,4,0,0,3,55,48,0.7879426898351067,41,50,10,75,321,149,2025,2,7.140495867768595,0.0,8.181818181818182,11.15702479338843,10.115702479338843,7.43801652892562,0.4462809917355372,15.57632398753894,23.364485981308412,7.788161993769473,6.8181818181818175,5.7240492202932804,5.877544574261465,109.68223396955594,95.63574592815289,Franklin Pierce,124.414,-0.9369999999999996,-1.613397438545375,0.78093058733791,0.4135468817960104
Fresno Pacific,50,PacWest,112.8,93,17,1,31,15,11,61,54,1.4777368034562153,144,67,17,111,515,578,2025,2,4.308510638297872,48.38709677419355,4.867021276595745,8.856382978723405,7.420212765957447,5.345744680851064,0.8776595744680851,13.009708737864079,21.553398058252426,8.543689320388347,7.096774193548387,6.117241295787096,6.357490063081716,100.69981409183563,131.4104127365063,Fresno Pacific,273.918,-0.46060000000000245,-1.0460125586220228,0.9808918784255107,0.5764399073127475
Frostburg St.,10,MEC,16.6,14,3,2,2,0,0,4,2,0.4788791011719937,13,2,0,25,68,123,2025,2,1.0843373493975903,0.0,2.1686746987951806,13.554216867469878,7.590361445783132,1.0843373493975903,0.0,2.941176470588235,36.76470588235294,33.82352941176471,0.0,1.9329509428861313,2.7923760467962864,105.97147632401833,183.59655295044683,Frostburg St.,44.0,0.4289999999999995,0.2319282039223895,1.0611742424242423,0.1723409376089326
Ga. Southwestern,55,Peach Belt,129.5,120,24,7,7,3,7,88,80,1.5005762582112123,151,61,28,104,598,2072,2025,2,5.55984555984556,42.857142857142854,6.115830115830116,7.227799227799228,8.33976833976834,4.239382239382239,0.4864864864864865,10.200668896321071,17.391304347826086,7.190635451505015,4.430379746835443,5.741854510825844,6.3780886436060955,99.76041036469854,110.6562473874356,Ga. Southwestern,305.0,-1.9614000000000014,-1.666693235399952,1.1272259507829978,-0.07333058026678851
Gannon,9,PSAC,23.6,38,5,3,2,0,1,17,15,0.44401721981425707,19,9,2,23,125,0,2025,2,5.720338983050847,0.0,6.483050847457627,8.771186440677965,14.491525423728813,3.432203389830508,0.3813559322033898,7.199999999999999,18.4,11.2,5.0,4.583553352524685,4.962722630550016,97.15425673815474,105.61138347905916,Gannon,61.0,-1.1460000000000012,-0.6231575750035991,1.673548387096774,-0.06161497703957819
Georgia College,54,Peach Belt,115.6,123,29,1,22,7,11,80,72,0.5737156891665206,114,56,21,82,553,550,2025,2,5.605536332179931,31.818181818181817,6.228373702422146,6.384083044982699,9.576124567474048,4.359861591695502,0.856401384083045,10.126582278481013,14.828209764918626,4.701627486437612,8.799999999999999,6.400162349064478,6.3497944295898785,100.3045072363887,110.41064461819397,Georgia College,275.0,-1.3138000000000012,-1.3132398162118504,0.877281746031746,-0.18434064290835916
Glenville St.,28,MEC,63.2,42,8,0,21,9,5,28,26,1.0648893092244722,31,30,12,77,274,0,2025,2,3.70253164556962,42.857142857142854,3.9873417721518987,10.965189873417723,5.981012658227848,4.272151898734177,0.7120253164556961,10.948905109489052,28.102189781021895,17.153284671532845,13.88888888888889,5.168996390499369,4.7656278925644955,96.92337319652738,138.76073812598304,Glenville St.,170.0,-0.601000000000001,0.29749895331641996,1.2639691714836223,-0.7729852338042256
Goldey-Beacom,18,CACC,41.9,46,9,1,14,4,0,28,24,1.0497806744079456,40,22,6,52,200,300,2025,2,5.155131264916468,28.57142857142857,6.014319809069212,11.16945107398568,9.880668257756565,4.725536992840095,0.0,11.0,26.0,15.0,0.0,4.106226383550938,5.153882467627206,104.23096376717208,120.71287627211782,Goldey-Beacom,78.336,-0.3968000000000006,-0.44963452989665553,1.0420798898071626,0.06885758190907981
Grand Valley St.,10,GLIAC,30.3,32,4,0,0,0,3,25,17,0.4891609174397511,25,17,5,45,148,574,2025,2,5.0495049504950495,0.0,7.425742574257425,13.366336633663366,9.504950495049505,5.0495049504950495,0.891089108910891,11.486486486486488,30.405405405405407,18.91891891891892,10.714285714285714,5.078602857475181,4.805591403546366,100.19716366139666,119.21084548842266,Grand Valley St.,62.0,-0.08299999999999992,-0.4397631281557782,1.1378277153558052,0.3668171110392543
