Team,Season,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,BA,SlgPct,OBPct,iPF,PF,1B,SB%,BB%,K%,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch,Division
Georgia College,2025,10,Peach Belt,308,49,0,5,18,380,93,11,1,7,70,16,4,1,63.47086816030489,2.687818543159384,2.5503424253220377,5.761764367816093,0.7809986638525058,52,3,58,10,0.30194805194805197,0.41233766233766234,0.42105263157894735,1.0050751206064783,100.3045072363887,74,84.21052631578947,12.894736842105264,13.684210526315791,0.11038961038961037,99.68105287194766,0.18421052631578946,0.3597736842105263,Georgia College,-178.854,0.8128000000000004,1.385225696209833,0.8413372859025032,-0.41914465639461895,2
Glenville St.,2025,3,MEC,57,10,0,0,0,67,19,4,0,3,10,0,0,0,14.900844423207374,5.365319530143656,-0.7088632172739338,4.464379310344828,0.8004809262183528,12,1,10,3,0.3333333333333333,0.5614035087719298,0.43283582089552236,0.9487228866087896,96.92337319652738,12,0.0,14.925373134328357,17.91044776119403,0.22807017543859648,136.90637123564412,0.14925373134328357,0.5360597014925372,Glenville St.,-44.893,1.2744000000000004,0.5492730159640182,1.34453125,0.39856661215916633,2
Goldey-Beacom,2025,3,CACC,43,14,0,0,1,58,12,2,0,1,11,7,0,0,9.067108828287006,1.2396660937788364,0.191834200987814,0.5997183908045978,0.28790241191925464,10,1,4,3,0.27906976744186046,0.3953488372093023,0.46551724137931033,1.0705160627862012,104.23096376717207,9,87.5,24.137931034482758,17.24137931034483,0.11627906976744184,106.84275133459633,0.1896551724137931,0.32018965517241377,Goldey-Beacom,-52.112,0.4255999999999984,0.768510949819239,1.085216572504708,-0.3763311667389801,2
Grand Valley St.,2025,1,GLIAC,18,2,0,1,0,21,6,0,0,0,2,0,0,0,2.9752814582975,0.2723109662109183,-0.28855718161137456,1.1478850574712647,0.4199707106615811,2,0,1,1,0.3333333333333333,0.3333333333333333,0.38095238095238093,1.0032860610232777,100.19716366139666,6,,9.523809523809524,9.523809523809524,0.0,71.52320316890423,0.09523809523809523,0.27904761904761904,Grand Valley St.,-16.282,-0.06619999999999969,0.04406974575132569,0.7234375,-0.13557730514657365,2
Harding,2025,11,GAC,253,52,1,7,26,339,67,12,1,5,67,16,1,4,51.4491934329753,-6.402935696445008,-1.0899576345527788,16.85054022988506,0.688903185712098,54,7,59,11,0.2648221343873518,0.3794466403162055,0.4306784660766962,1.0155255815138684,100.93153489083211,49,69.56521739130434,15.339233038348082,15.929203539823009,0.1146245059288537,94.51109572452016,0.1976401179941003,0.3088189910979228,Harding,-148.71300000000002,5.009999999999997,3.110662732692607,0.804136690647482,3.119621320092001,2
Hawaii Hilo,2025,5,PacWest,140,30,0,3,11,184,47,10,1,2,42,10,0,1,30.96814445760756,1.5776509253169373,0.7097294798411045,5.790977011494254,0.5867537045711422,19,2,40,5,0.3357142857142857,0.4642857142857143,0.4782608695652174,0.9870131554995942,99.22078932997566,34,83.33333333333334,16.304347826086957,10.326086956521738,0.12857142857142861,125.87394921392958,0.22826086956521738,0.36055978260869564,Hawaii Hilo,-67.786,1.3513999999999986,1.6752204584755301,0.9580071174377224,-0.2645837571382359,2
Hawaii Pacific,2025,8,PacWest,251,38,0,3,14,306,74,14,6,10,61,16,3,4,61.19113214311252,10.070994217074873,-1.4368154161320623,6.352890804597702,0.7813319003178529,62,2,45,8,0.2948207171314741,0.5179282868525896,0.4117647058823529,1.0590047405680942,103.54028443408565,44,88.88888888888889,12.418300653594772,20.26143790849673,0.2231075697211155,121.6592812401145,0.19934640522875818,0.46443137254901967,Hawaii Pacific,-147.055,0.3132000000000016,1.2763772078891016,1.028119658119658,-0.9717434062430779,2
Henderson St.,2025,11,GAC,353,51,2,4,9,419,111,24,2,15,81,11,2,2,87.14650283207986,16.3049681362378,-2.565980513177323,9.119500000000002,1.613552599260692,71,4,75,11,0.31444759206798867,0.5212464589235127,0.4128878281622912,0.9999807681029554,99.99884608617732,70,73.33333333333333,12.17183770883055,16.94510739856802,0.20679886685552407,122.70222046544781,0.19331742243436753,0.48722168674698796,Henderson St.,-183.08900000000003,2.6298,2.5668472510283444,0.9293758043758044,0.2627938775851226,2
Hillsdale,2025,3,G-MAC,57,6,0,1,4,68,15,1,0,1,10,1,0,0,10.13639414501033,-0.6887999259004742,-0.0632432827164146,1.3008218390804598,0.3959576374186772,13,0,8,3,0.2631578947368421,0.3333333333333333,0.36764705882352944,1.0704855762128855,104.22913457277315,13,100.0,8.823529411764707,19.11764705882353,0.07017543859649122,68.21071752113936,0.14705882352941177,0.3033676470588235,Hillsdale,-61.175000000000004,-0.4823999999999996,-0.2700499661647504,0.6717002237136465,-0.4481275525696371,2
Ill. Springfield,2025,4,GLVC,131,25,0,1,7,164,41,8,1,5,35,9,3,0,31.70939965870373,5.630772387940442,-1.2982495728899817,10.88428735632184,1.5884221639747123,42,1,29,4,0.31297709923664124,0.5038167938931297,0.4451219512195122,1.0697880522567793,104.18728313540674,27,90.0,15.24390243902439,25.609756097560975,0.19083969465648848,126.71761089773055,0.21341463414634146,0.44301829268292686,Ill. Springfield,-66.598,1.4512,1.1346560641027779,1.039927536231884,0.26082578385206845,2
