Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,iPF,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch,Division
Brown,123,Ivy League,308.7,344,74,14,58,27,25,228,191,2.9283392029362996,283,133,38,283,1440,4376,2022,5.568513119533528,46.55172413793103,6.647230320699709,8.25072886297376,10.029154518950438,3.8775510204081636,0.728862973760933,9.23611111111111,19.65277777777778,10.416666666666668,8.116883116883116,5.1241144691887985,5.448517220573086,,100.0,104.12432488701198,Brown,-6.5920000000000005,-5.968000000000003,-5.032612255232163,0.9965203637801503,-0.9562267258010912,1
Bryant,231,NEC,496.6,568,99,20,53,18,50,359,293,4.436738696783791,501,236,65,465,2331,6796,2022,5.310108739428111,33.9622641509434,6.506242448650825,8.427305678614578,10.293999194522755,4.27708417237213,0.9061619009262988,10.124410124410124,19.948519948519948,9.824109824109824,9.074410163339383,5.497530928191324,5.720173889112168,,100.0,108.5733930427202,Bryant,-7.590999999999995,-9.114400000000003,-10.31357690246336,0.8785822814399252,-0.060408770298261416,1
Bucknell,147,Patriot,396.4,450,81,9,95,33,40,289,266,1.5976613419131616,487,204,48,278,1854,4058,2022,6.039354187689203,34.73684210526316,6.561553985872856,6.311806256306761,10.216952573158427,4.631685166498486,0.9081735620585267,11.003236245954692,14.994606256742179,3.9913700107874863,7.590132827324478,6.059347242803747,6.582648096335186,,100.0,96.01763566651012,Bucknell,5.1590000000000025,-8.512400000000003,-6.105011874905764,0.9168479081709712,-3.1794069737792627,1
Butler,232,Big East,477.8,599,118,13,138,80,53,458,406,-0.2824489437244878,490,251,79,438,2348,7439,2022,7.647551276684805,57.971014492753625,8.627040602762662,8.250313938886563,11.282963583089158,4.72791963164504,0.9983256592716617,10.689948892674616,18.654173764906304,7.9642248722316875,9.760589318600369,5.923619624756178,6.050287300998988,,100.0,68.32855990922582,Butler,-112.079,-11.861599999999997,-13.096863677430502,0.8935016603687163,-0.1785453409535691,1
CSU Bakersfield,199,Big West,457.2,541,102,7,157,67,40,368,285,-1.130753970002534,476,230,79,424,2201,7188,2022,5.610236220472441,42.675159235668794,7.244094488188977,8.346456692913385,10.6496062992126,4.52755905511811,0.7874015748031497,10.449795547478418,19.26397092230804,8.814175374829622,7.751937984496124,5.553148850095267,5.973649233185179,,100.0,103.40595889155561,CSU Bakersfield,-30.802999999999997,-12.299800000000003,-10.941170156373403,1.0764369956548727,-0.4852301342605738,1
CSUN,179,Big West,477.09999999999997,491,93,12,83,25,49,237,210,-0.19588125335321355,445,183,49,393,2122,3629,2022,3.9614336617061414,30.120481927710845,4.470760846782645,7.4135401383357795,9.26220918046531,3.4521064766296377,0.9243345210647664,8.623939679547597,18.520263901979263,9.896324222431666,9.919028340080972,5.389510284270428,5.4835899505173336,,100.0,131.79415786970284,CSUN,109.324,0.5935999999999897,-3.491523701083918,1.0387761737547145,4.062965379279509,1
Cal Poly,211,Big West,512.9,551,118,15,122,51,44,297,258,4.79705837821829,441,173,54,559,2295,4992,2022,4.527198284265939,41.80327868852459,5.211542210957301,9.808929615909534,9.668551374536948,3.0356794696822,0.77208032754923,7.538126361655774,24.357298474945534,16.81917211328976,9.072164948453608,4.506209321260294,4.696231538547022,,100.0,122.05312575240588,Cal Poly,74.808,-3.5740000000000096,-2.1822282660217036,0.9335018658962322,-1.646366116667291,1
Cal St. Fullerton,249,Big West,482.0,514,98,14,61,28,35,316,283,0.5480248071984071,511,220,68,435,2234,6813,2022,5.284232365145228,45.90163934426229,5.9004149377593365,8.122406639004149,9.597510373443983,4.1078838174273855,0.6535269709543569,9.847806624888094,19.47179946284691,9.623992837958816,6.41025641025641,5.174535388396237,5.7941677954823225,,100.0,109.01891858977244,Cal St. Fullerton,35.56,-9.379800000000008,-6.764574384829857,1.008542652590705,-2.5357759532600026,1
California,250,Pac-12,492.9,531,97,14,150,71,54,337,298,-0.9740765455364362,437,226,37,510,2241,3886,2022,5.441265976871577,47.333333333333336,6.153377967133293,9.312233718807061,9.695678636640292,4.126597687157639,0.9860012172854534,10.084783578759481,22.757697456492636,12.672913877733155,10.9979633401222,5.198569199636175,5.149359226537616,,100.0,106.31519800646605,California,23.083000000000002,-10.600200000000006,-7.476146939228434,0.9483100661278472,-3.701842600925758,1
California Baptist,246,WAC,477.8,493,106,18,168,58,34,304,246,2.9520840365189964,435,221,54,431,2187,5943,2022,4.633737965676015,34.523809523809526,5.726245290916702,8.118459606529928,9.286312264545835,4.162829635830891,0.6404353285893679,10.105166895290353,19.707361682670324,9.602194787379972,7.249466950959488,5.090635112407915,5.520474036387427,,100.0,120.21878260509742,California Baptist,46.812000000000005,-5.612600000000005,-5.669310293311051,0.8609039746746395,-0.8501159901152375,1
Campbell,239,Big South,530.5,493,93,15,154,48,42,350,286,6.436214553653631,480,268,87,566,2435,5873,2022,4.852026390197927,31.16883116883117,5.937794533459001,9.602262016965128,8.363807728557964,4.54665409990575,0.7125353440150801,11.006160164271048,23.24435318275154,12.23819301848049,8.045977011494253,5.145921890599983,5.474922426249492,,100.0,116.46040947727366,Campbell,43.04600000000001,-7.540200000000006,-5.30415807929582,0.9571522525485037,-2.573585487543779,1
Canisius,187,MAAC,463.1,472,82,11,76,31,51,338,278,3.6916182829955617,439,267,76,495,2185,5140,2022,5.402720794644785,40.78947368421053,6.568775642409846,9.619952494061758,9.172964802418482,5.1889440725545235,0.9911466206003022,12.219679633867276,22.65446224256293,10.434782608695652,10.408163265306122,5.758871420781273,5.7877292688144415,,100.0,106.97884830036288,Canisius,-0.30599999999999716,-7.499400000000004,-8.419628782494247,0.9614667695076489,0.6196712199044114,1
Central Ark.,172,ASUN,462.6,508,103,9,105,52,68,313,292,2.3283577634256396,516,170,30,447,2091,5105,2022,5.680933852140077,49.523809523809526,6.089494163424124,8.696498054474707,9.883268482490271,3.307392996108949,1.3229571984435797,8.130081300813007,21.37733142037303,13.247250119560022,11.643835616438356,5.518400032218902,5.3500376110488945,,100.0,102.18872495144922,Central Ark.,25.096000000000004,-7.971800000000006,-7.009592970627879,0.9232373800584064,-1.6250227546319556,1
Central Conn. St.,175,NEC,412.2,450,76,8,23,10,48,244,211,3.5461965382389016,452,164,55,339,1867,3588,2022,4.606986899563319,43.47826086956522,5.327510917030568,7.40174672489083,9.825327510917031,3.5807860262008733,1.0480349344978166,8.784145688269952,18.157471880021426,9.373326191751474,9.6,5.705882214756562,5.866404819753543,,100.0,120.67936812738881,Central Conn. St.,52.791000000000004,-4.318200000000005,-5.1683724071511135,0.9054115507048659,0.3990495543133381,1
Central Mich.,211,MAC,509.4,508,104,16,108,47,58,293,266,5.437331913845297,489,219,33,540,2269,2987,2022,4.699646643109541,43.51851851851852,5.176678445229682,9.540636042402827,8.975265017667844,3.8692579505300353,1.0247349823321557,9.651828999559276,23.79903040987219,14.147201410312915,10.603290676416819,5.087130468117396,5.08917827936799,,100.0,119.0840023129262,Central Mich.,74.86500000000001,-2.8792000000000084,-5.674976103249955,0.8652155738683864,2.347250520217417,1
Charleston So.,272,Big South,453.6,548,108,9,206,90,55,428,342,1.5900283395795318,448,266,64,450,2257,3824,2022,6.785714285714286,43.689320388349515,8.492063492063492,8.928571428571427,10.873015873015872,5.277777777777777,1.0912698412698412,11.785556047851129,19.93797075764289,8.152414709791762,10.934393638170974,6.017691476711384,5.972075123727333,,100.0,83.16720742121488,Charleston So.,-89.904,-11.0296,-11.368101468891629,0.7455106237148732,-3.4265904498359614,1
