Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
Occidental,7,SCIAC,225,26,0,2,10,263,60,4,1,2,31,8,0,7,33.249527995360985,-8.76785311815846,1.2379934270389956,1.7269999999999999,0.7886859052802916,40,0,28,7,2025,3,96.56587696081596,53,100.0,9.885931558935361,15.209125475285171,0.26666666666666666,0.32,0.3650190114068441,0.053333333333333344,72.44639879543205,0.11787072243346007,0.33888973384030413,Occidental,-130.755,-0.8633999999999984,-0.07820386966271158,0.6262108262108262,-1.3005650111380136
Oglethorpe,7,SAA,217,28,2,2,8,257,62,9,1,2,49,13,1,4,40.40950793812348,-19.049115147674172,2.5033053703464203,2.2315,0.5846174511708659,45,1,36,7,2025,3,107.41093588179054,50,92.85714285714286,10.894941634241246,17.509727626459142,0.2857142857142857,0.3640552995391705,0.38910505836575876,0.07834101382488479,89.551341855308,0.19066147859922178,0.3662885375494071,Oglethorpe,-106.87299999999999,1.5007999999999992,1.0955990444465729,1.0651734104046242,0.3133734151925529
Olivet,4,Michigan Intercol. Ath. Assn.,129,12,0,0,4,145,38,9,2,1,20,6,0,0,23.57247965096621,-0.17914301087051543,0.9145036801400753,1.0465,1.0535175835104993,33,1,18,4,2025,3,96.79436448836346,26,85.71428571428571,8.275862068965518,22.758620689655174,0.29457364341085274,0.4186046511627907,0.3724137931034483,0.12403100775193798,98.93415474025022,0.13793103448275862,0.37203448275862067,Olivet,-70.17099999999999,0.37960000000000105,0.30770998430173685,0.8080896686159844,0.1620398649323737
Otterbein,3,OAC,91,8,0,2,4,105,19,4,0,0,4,3,0,1,6.030881835018855,-10.941304367248435,-0.014989690021086188,0.53325,0.07462863603148837,19,2,4,3,2025,3,99.55141100441404,15,60.0,7.6190476190476195,18.095238095238095,0.2087912087912088,0.25274725274725274,0.29523809523809524,0.04395604395604394,37.96256654318706,0.0380952380952381,0.27562857142857144,Otterbein,-68.52499999999999,-0.5099999999999993,-0.2832269618671823,1.054296875,-0.2005077546945066
Ozarks (AR),7,SCAC,226,40,2,5,11,284,82,18,0,7,73,26,0,2,74.93907111463079,13.977416449989972,2.0907476946401284,1.9195,2.4293159796806867,33,4,65,7,2025,3,110.7273332954782,57,86.66666666666667,14.084507042253522,11.619718309859154,0.36283185840707965,0.5353982300884956,0.4753521126760563,0.17256637168141598,154.19273726585647,0.25704225352112675,0.4640285714285714,Ozarks (AR),-74.05,4.313599999999999,2.511820458155607,0.743603133159269,3.2891233620691107
Pacific (OR),3,NWC,100,7,0,0,3,110,22,3,0,0,3,6,1,2,5.786831289384137,-13.167075741314786,-0.2441576940528083,0.10050000000000003,0.02723391208003295,19,0,3,3,2025,3,100.0499133105366,19,100.0,6.363636363636363,17.272727272727273,0.22,0.25,0.2909090909090909,0.03,36.178957498248906,0.02727272727272727,0.2712,Pacific (OR),-76.407,-0.9107999999999986,-0.5660757771744879,1.114935064935065,-0.25083278426989064
Pacific Lutheran,3,NWC,101,20,0,1,8,130,22,3,0,1,18,2,0,2,17.424587667368723,-4.069719519899924,0.31450788398239726,0.59825,0.7539937510773534,35,0,17,3,2025,3,96.00721552797911,18,100.0,15.384615384615385,26.923076923076923,0.21782178217821782,0.27722772277227725,0.38461538461538464,0.05940594059405943,66.73998410217077,0.13846153846153847,0.34586923076923076,Pacific Lutheran,-61.407,0.01940000000000051,0.2593080092778673,0.8217439293598233,-0.2356996815411306
Penn College,2,United East,54,4,0,1,0,59,12,1,0,0,4,1,0,0,1.8543366040403497,-6.811730943499339,0.17002333958829136,0.409,0.3746781312370063,15,0,3,2,2025,3,94.3249136666266,11,100.0,6.779661016949152,25.423728813559322,0.2222222222222222,0.24074074074074073,0.2711864406779661,0.018518518518518517,28.865933701451873,0.06779661016949153,0.25177966101694915,Penn College,-37.174,-0.3423999999999996,-0.2571924809624489,0.7111111111111111,-0.22430751903755053
Penn St. Brandywine,5,United East,142,18,0,1,5,166,36,9,0,0,23,2,1,0,20.102320140107388,-5.903783623880405,-2.859515102320744,1.0225,0.6639254862457282,32,3,20,5,2025,3,,27,40.0,10.843373493975903,19.27710843373494,0.2535211267605634,0.31690140845070425,0.35542168674698793,0.06338028169014087,69.23899709176156,0.13855421686746988,0.3340060240963855,Penn St. Brandywine,-76.994,0.5240000000000011,-0.014747012100641178,0.9163492063492064,0.5865814136249798
Penn St. Harrisburg,3,United East,106,30,4,0,1,141,33,7,2,2,32,10,0,4,37.220376264448596,14.669209842401331,1.4500155250543632,0.5575,2.0980666726942525,32,1,28,3,2025,3,101.89971219213736,22,90.9090909090909,21.27659574468085,22.69503546099291,0.3113207547169811,0.4716981132075472,0.48226950354609927,0.16037735849056606,140.04708565483242,0.22695035460992907,0.45887218045112776,Penn St. Harrisburg,-41.525,1.2657999999999996,1.0868546595011446,1.067713787085515,0.09866904105459207
