team_name,Years,iPF,PF,H,R,total_home_games,total_away_games
Randolph-Macon,2021-2024,1.0661378373529486,103.96827024117692,9.061224489795919,8.0,98.0,70.0
Geneva,2021-2024,1.0650879254580699,103.90527552748419,5.951612903225806,5.264367816091954,62.0,87.0
Marietta,2021-2024,1.0645125470135928,103.87075282081557,9.685393258426966,8.575757575757576,89.0,99.0
Augustana (IL),2021-2024,1.0638622493461203,103.8317349607672,8.822222222222223,7.82051282051282,45.0,78.0
VTSU Lyndon,2021-2024,1.0627359981369664,103.76415988821799,5.666666666666667,5.033333333333333,33.0,90.0
Concordia Wisconsin,2021-2024,1.0607020042702793,103.64212025621676,7.6571428571428575,6.826086956521739,70.0,92.0
Alma,2021-2024,1.0600783317629472,103.60469990577683,7.466666666666667,6.663716814159292,45.0,113.0
VTSU Castleton,2021-2024,1.0585428255064158,103.51256953038495,6.096774193548387,5.456140350877193,31.0,114.0
Wis.-Platteville,2021-2024,1.05561284095787,103.3367704574722,6.7555555555555555,6.077669902912621,45.0,103.0
Bethel (MN),2021-2024,1.0554205027459764,103.32523016475858,7.869565217391305,7.08235294117647,46.0,85.0
Huntingdon,2021-2024,1.0552125119338218,103.3127507160293,7.7594936708860756,6.985915492957746,79.0,71.0
Coe,2021-2024,1.055064005481125,103.30384032886751,7.14,6.429906542056075,50.0,107.0
Macalester,2021-2024,1.0547250727523356,103.28350436514013,6.2926829268292686,5.670329670329671,41.0,91.0
Haverford,2021-2024,1.05457845755216,103.2747074531296,7.666666666666667,6.910256410256411,39.0,78.0
Trinity (CT),2021-2024,1.0534832858933698,103.20899715360218,6.8936170212765955,6.225806451612903,47.0,62.0
MIT,2021-2024,1.0525510608410849,103.15306365046509,7.108108108108108,6.430379746835443,37.0,79.0
Catholic,2021-2024,1.0506244868726746,103.03746921236048,8.608695652173912,7.815217391304348,69.0,92.0
Wis.-Stout,2021-2024,1.0498404338834697,102.99042603300819,7.127272727272727,6.479591836734694,55.0,98.0
Westfield St.,2021-2024,1.0494456962824859,102.96674177694915,6.694915254237288,6.090909090909091,59.0,88.0
Trine,2021-2024,1.04856170444264,102.9137022665584,5.326923076923077,4.854166666666667,52.0,96.0
Wm. Paterson,2021-2024,1.0484581098788106,102.90748659272863,9.102564102564102,8.296296296296296,78.0,81.0
Texas Lutheran,2021-2024,1.0464869382645978,102.78921629587587,8.425,7.706521739130435,80.0,92.0
Penn St.-Abington,2021-2024,1.046411517075755,102.78469102454531,10.288461538461538,9.412371134020619,52.0,97.0
