team_name,Years,iPF,PF,H,R,total_home_games,total_away_games,PF_singles,PF_doubles,PF_triples,PF_home_runs,PF_walks,PF_stolen_bases,PF_strikeouts,PF_ground_balls,PF_line_drives,PF_fly_balls,PF_infield_flys,PF_FIP
Bryant,2021-2024,1.1867694747099922,111.20616848259952,8.526315789473685,6.2,76.0,130.0,102.91876093166876,97.97545182219514,120.10204353480371,98.6635674757704,100.49691699396197,107.59741757773205,96.78648836428839,108.56613778137833,98.05026854696254,93.08436957592592,105.930303005109,96.52431313053917
Davidson,2021-2024,1.1863610233433688,111.18166140060212,8.231404958677686,5.989130434782608,121.0,92.0,99.43647597747403,99.37085817230883,96.42955395752348,99.96584948956084,99.54562538074623,103.7910658588755,99.78983716467319,98.7337527220362,104.72678073762289,96.22235393509754,101.94053717317944,99.6373086421112
Miami (FL),2021-2024,1.1838407762978156,111.03044657786891,7.814814814814815,5.707070707070707,135.0,99.0,98.99814616881261,98.8331356879013,92.30860383263473,100.62634568735227,99.97732553097221,99.84127562785109,101.26172662088516,98.31017108955673,104.71856772046289,97.7369840442372,98.30968203035614,100.86093856209568
Northern Ky.,2021-2024,1.183531371481828,111.01188228890967,8.839080459770114,6.458015267175573,87.0,131.0,100.89335554630313,106.37753008335422,99.98676345123275,113.62919618587568,99.41897812808543,98.68066165541381,99.13831556309376,99.28943985440655,108.42646029834782,103.40553748906633,93.64354525624587,91.85294169082142
BYU,2021-2024,1.1825823961290114,110.95494376774067,7.211764705882353,5.276422764227642,85.0,123.0,105.14943513906587,112.62473552144034,106.82340660541611,107.24364052513535,100.75459918444476,102.13148894053762,98.21055009609945,104.3768873861042,105.33780928073797,100.7333206304952,87.0237214651181,93.04110332218164
Southern U.,2021-2024,1.1825182844870354,110.95109706922212,7.82089552238806,5.7226277372262775,67.0,137.0,100.29020734662633,99.71203972947143,99.78178126161087,101.35467706682361,103.16247338116813,104.97261951186545,100.38029754004339,99.46362800328772,93.99239658645989,99.78696888786001,104.4200097246969,96.56721845697818
Oakland,2021-2024,1.181294333213593,110.87765999281558,8.1375,5.965034965034965,80.0,143.0,100.6043812611315,102.11146482495988,88.6815689051728,112.19196669016812,101.71786821387589,104.57182338993339,99.59815261333212,98.89002773433788,101.33462533292695,101.53319094267168,103.79744165281801,92.30988608350614
Arizona St.,2021-2024,1.179560833592218,110.77365001553308,7.883720930232558,5.793814432989691,129.0,97.0,98.21531649625001,104.25913458890619,96.56603646489917,109.86840899341752,100.87227834332784,100.68021251138128,100.48183061425067,98.27829567353051,101.71162028221845,102.55532624328765,101.38923194247751,92.85592475846151
Illinois,2021-2024,1.1791612203249993,110.74967321949995,8.512820512820513,6.25984251968504,78.0,127.0,101.20725269948481,98.51020269455412,89.61248522055047,116.0247174308385,98.90055110711286,98.34172015840781,97.52646239456969,100.28933870000563,98.54293855105483,102.35600378827007,104.26056663530514,89.2352327891784
Iona,2021-2024,1.1750262448116024,110.50157468869617,5.75,4.254237288135593,44.0,118.0,103.9705956763991,100.20135020957437,117.62398482626675,85.16065473518381,97.0345006631228,99.79998853348287,98.40936569076536,106.70107787804983,96.36062509455027,98.30310539132984,94.03891084325657,117.67383712783965
James Madison,2021-2024,1.1720133325662554,110.32079995397532,8.086021505376344,6.0095238095238095,93.0,105.0,99.18241675608309,102.90755637719573,115.41081236395137,103.17198087866093,98.67857106821938,105.62490880666608,98.08466353441871,103.35579725414374,98.63735670425449,101.31278716558643,97.84209012493304,96.17298015616315
