"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
"42",2024,"Air Force","Mountain West",1,"9","Dylan Rogers","Jr","P",16,14,7.49,57.2,82,51,48,15,50,0,274,248,18,3,0,6,3,7,0,0,0,3,1,765,67,48,5,5,0,16,"6-3","",573924,5486,8273436,"http://stats.ncaa.org/players/8273436?year_stat_category_id=15081"
"43",2024,"Air Force","Mountain West",1,"19","Joey Collier","So","P",5,0,13.5,4,8,6,6,5,2,0,23,18,0,0,0,0,2,0,0,7,2,0,0,75,2,6,0,0,0,0,"6-0","",573924,5486,8268669,"http://stats.ncaa.org/players/8268669?year_stat_category_id=15081"
"44",2024,"Air Force","Mountain West",1,"23","Jack Bello","So","P",5,4,9.39,7.2,15,9,8,7,3,0,45,36,3,1,0,0,1,2,0,2,2,0,0,139,11,7,0,1,0,1,"6-3","",573924,5486,8259431,"http://stats.ncaa.org/players/8259431?year_stat_category_id=15081"
"45",2024,"Air Force","Mountain West",1,"18","Ben Weber","So","P",17,15,6.49,68,82,56,49,22,44,0,315,276,14,2,0,7,4,12,0,4,4,4,1,989,103,44,5,4,0,10,"6-1","",573924,5486,8280786,"http://stats.ncaa.org/players/8280786?year_stat_category_id=15081"
"46",2024,"Air Force","Mountain West",1,"4","Zach Peters","Jr","UT",1,0,9,1,1,1,1,1,0,0,5,3,1,0,0,0,0,0,0,0,0,0,1,18,1,2,0,0,0,0,"5-9","",573924,5486,8280899,"http://stats.ncaa.org/players/8280899?year_stat_category_id=15081"
"47",2024,"Air Force","Mountain West",1,"26","Cooper Loveridge","So","P",7,0,6.43,7,7,6,5,8,5,0,35,27,4,1,0,1,2,0,0,8,3,0,0,101,11,5,0,1,0,2,"6-3","",573924,5486,8284628,"http://stats.ncaa.org/players/8284628?year_stat_category_id=15081"
"48",2024,"Air Force","Mountain West",1,"3","Chase Spencer","Jr","OF",2,0,0,1.1,0,0,0,1,2,0,5,4,0,0,0,0,0,0,0,3,0,0,0,17,0,2,0,0,0,0,"6-1","L/R",573924,5486,8281243,"http://stats.ncaa.org/players/8281243?year_stat_category_id=15081"
"49",2024,"Air Force","Mountain West",1,"33","Patrick Davidson","Fr","P",8,1,10.57,7.2,11,10,9,7,8,0,45,34,2,1,0,3,1,3,0,1,1,0,1,161,3,11,0,1,0,3,"6-4","",573924,5486,8415795,"http://stats.ncaa.org/players/8415795?year_stat_category_id=15081"
"50",2024,"Air Force","Mountain West",1,"36","Gaines Estridge","Fr","P",23,0,8.1,26.2,42,32,24,11,15,0,137,120,9,0,1,5,7,3,0,28,13,2,1,442,37,25,1,0,0,3,"6-2","",573924,5486,8415799,"http://stats.ncaa.org/players/8415799?year_stat_category_id=15081"
"51",2024,"Air Force","Mountain West",1,"38","Ethan Dillinger","Fr","P",6,1,22.5,6,15,15,15,10,8,0,44,31,5,0,0,3,2,3,0,4,3,0,0,191,4,4,0,1,0,1,"6-1","",573924,5486,8415801,"http://stats.ncaa.org/players/8415801?year_stat_category_id=15081"
"52",2024,"Air Force","Mountain West",1,"44","Davis Rhyne","Fr","P",11,0,6.23,13,12,12,9,13,7,0,69,49,4,0,0,0,6,7,0,13,6,0,0,211,23,6,0,0,0,4,"6-5","",573924,5486,8415806,"http://stats.ncaa.org/players/8415806?year_stat_category_id=15081"
"53",2024,"Air Force","Mountain West",1,"45","Bowen Brantingham","Fr","P",11,1,5.12,19.1,24,13,11,15,11,0,102,79,4,3,1,0,2,6,0,9,2,0,2,344,20,24,2,2,0,6,"6-3","",573924,5486,8415808,"http://stats.ncaa.org/players/8415808?year_stat_category_id=15081"
"54",2024,"Air Force","Mountain West",1,"27","Sam Hentges","Fr","P",19,0,11.25,16,21,21,20,10,14,0,88,67,5,1,2,6,1,7,1,22,12,1,3,284,16,18,0,2,0,4,"6-2","",573924,5486,8415790,"http://stats.ncaa.org/players/8415790?year_stat_category_id=15081"
"55",2024,"Akron","MAC",1,"20","Sean Perkins","Jr","P",21,0,5.11,37,36,29,21,17,27,0,172,135,11,2,1,3,7,9,0,10,8,3,8,525,48,29,1,3,3,9,"6-4","",573912,875,8271517,"http://stats.ncaa.org/players/8271517?year_stat_category_id=15081"
"56",2024,"Akron","MAC",1,"8","Yassir Kahook","Sr","P",25,0,7.96,31.2,51,30,28,9,18,0,154,138,14,3,0,6,1,3,0,20,11,0,4,479,17,54,2,1,0,4,"5-11","",573912,875,8270806,"http://stats.ncaa.org/players/8270806?year_stat_category_id=15081"
"57",2024,"Akron","MAC",1,"32","Anthony Fett","Sr","P",19,2,8.25,36,52,38,33,24,26,0,186,157,10,3,0,10,3,2,0,5,0,1,1,642,20,58,0,4,0,11,"6-4","",573912,875,8279402,"http://stats.ncaa.org/players/8279402?year_stat_category_id=15081"
"58",2024,"Akron","MAC",1,"25","Spencer Atkins","Sr","P",16,12,6.34,61,72,52,43,30,45,0,290,248,15,0,0,10,5,6,0,3,3,2,4,0,48,83,3,8,0,20,"6-2","",573912,875,8287153,"http://stats.ncaa.org/players/8287153?year_stat_category_id=15081"
"59",2024,"Akron","MAC",1,"22","Jacob  Beall","Jr","P",18,0,8.68,18.2,20,22,18,9,9,0,90,71,2,0,0,0,6,5,0,6,3,2,2,266,19,25,0,0,0,4,"6-3","",573912,875,8281179,"http://stats.ncaa.org/players/8281179?year_stat_category_id=15081"
