"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","IBB","RBI2out","Ht","B/T","team_id","conference_id","player_id","player_url"
"61",2024,"Abilene Christian","WAC",1,"10","Ranse Radtke","Jr","OF",30,19,0.262,0.415,0.338,13,65,17,2,0,22,1,7,16,1,0,6,15,0,1,0,2,0,0,"6-2","R/R",573995,923,8381645,"http://stats.ncaa.org/players/8381645?year_stat_category_id=15080"
"62",2024,"Abilene Christian","WAC",1,"21","OJ Gonzalez","Fr","P",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","R/R",573995,923,8381575,"http://stats.ncaa.org/players/8381575?year_stat_category_id=15080"
"63",2024,"Abilene Christian","WAC",1,"27","DJ Van Atten","Jr","INF",50,47,0.253,0.363,0.398,23,166,42,9,0,66,5,32,22,9,4,0,32,5,1,0,2,2,0,"6-0","R/R",573995,923,8381654,"http://stats.ncaa.org/players/8381654?year_stat_category_id=15080"
"64",2024,"Abilene Christian","WAC",1,"43","Nolan Foster","Fr","P",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","R/R",573995,923,8381528,"http://stats.ncaa.org/players/8381528?year_stat_category_id=15080"
"65",2024,"Abilene Christian","WAC",1,"15","Dash Albus","Jr","P",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-11","L/L",573995,923,8381492,"http://stats.ncaa.org/players/8381492?year_stat_category_id=15080"
"66",2024,"Abilene Christian","WAC",1,"42","Joseph Carbone","Jr","P",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","L/L",573995,923,8381516,"http://stats.ncaa.org/players/8381516?year_stat_category_id=15080"
"67",2024,"Abilene Christian","WAC",1,"44","Chandler Freeman","Sr","P",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-11","R/R",573995,923,8381531,"http://stats.ncaa.org/players/8381531?year_stat_category_id=15080"
"68",2024,"Abilene Christian","WAC",1,"17","Iain Campa","Jr","P",15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-3","R/R",573995,923,8381507,"http://stats.ncaa.org/players/8381507?year_stat_category_id=15080"
"69",2024,"Abilene Christian","WAC",1,"4","Caden Greanead","Jr","P",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-3","R/R",573995,923,8381581,"http://stats.ncaa.org/players/8381581?year_stat_category_id=15080"
"70",2024,"Abilene Christian","WAC",1,"1","Gino D'Alessio","Sr","INF",58,58,0.372,0.451,0.546,42,218,81,11,0,119,9,63,31,8,9,1,31,8,0,0,5,2,0,"6-4","R/R",573995,923,8381521,"http://stats.ncaa.org/players/8381521?year_stat_category_id=15080"
"71",2024,"Abilene Christian","WAC",1,"3","Cade McGarrh","So","INF",30,13,0.188,0.257,0.219,4,32,6,1,0,7,0,4,3,0,0,1,19,0,0,0,2,0,0,"6-3","L/R",573995,923,8381625,"http://stats.ncaa.org/players/8381625?year_stat_category_id=15080"
"72",2024,"Air Force","Mountain West",1,"11","Charlie Jones","So","1B",40,38,0.344,0.415,0.682,32,154,53,9,2,105,13,54,13,7,2,1,58,3,2,1,5,0,0,"6-3","",573924,5486,8272430,"http://stats.ncaa.org/players/8272430?year_stat_category_id=15080"
"73",2024,"Air Force","Mountain West",1,"32","Kyle Moats","Sr","P",24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","",573924,5486,8276606,"http://stats.ncaa.org/players/8276606?year_stat_category_id=15080"
"74",2024,"Air Force","Mountain West",1,"25","Jake Greiving","Sr","OF",50,50,0.278,0.355,0.459,28,194,54,14,0,89,7,34,13,11,2,0,51,5,2,0,5,1,0,"5-9","",573924,5486,8268979,"http://stats.ncaa.org/players/8268979?year_stat_category_id=15080"
